id,name,gender,age,traits,status,interest,feature
12,James Jones,male,21,,Year 4 Undergraduate,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
13,John Jones,male,26,,Year 2 PhD Student,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
14,James Brown,female,19,,Year 3 Undergraduate,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
15,John Martinez,male,21,,Year 3 Undergraduate,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
16,John Smith,male,24,,Year 3 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.']"
17,Emily Taylor,female,18,,Year 2 Undergraduate,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
18,Linda Martinez,female,23,,Year 2 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
19,John Davis,male,26,,Year 2 PhD Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
20,Sarah Miller,male,26,,Year 1 PhD Student,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
21,Mary Johnson,female,25,,Year 2 PhD Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
22,Jane Martinez,male,20,,Year 4 Undergraduate,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
23,Robert Williams,male,22,,Year 1 Master's Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
24,James Williams,female,26,,Year 2 PhD Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
25,Emily Taylor,male,22,,Year 1 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
26,David Smith,female,18,,Year 1 Undergraduate,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
27,Sarah Williams,male,25,,Year 1 PhD Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
28,Robert Miller,female,19,,Year 2 Undergraduate,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
29,David Jones,male,22,,Year 1 Master's Student,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
30,John Taylor,female,26,,Year 1 PhD Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
31,Linda Smith,male,23,,Year 2 Master's Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
32,Linda Miller,male,24,,Year 1 PhD Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
33,Michael Davis,male,18,,Year 1 Undergraduate,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
34,Mary Martinez,male,26,,Year 2 PhD Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
35,Emily Davis,female,19,,Year 2 Undergraduate,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
36,John Garcia,male,19,,Year 2 Undergraduate,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
37,Emily Smith,male,23,,Year 3 Master's Student,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
38,Michael Miller,male,17,,Year 1 Undergraduate,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.', 'Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.']"
39,John Brown,female,22,,Year 4 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
40,Michael Martinez,male,24,,Year 2 Master's Student,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
41,David Williams,male,23,,Year 1 Master's Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.', 'Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
42,Mary Smith,female,18,,Year 2 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
43,Robert Davis,male,25,,Year 2 PhD Student,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
44,Robert Johnson,female,23,,Year 2 Master's Student,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.', 'Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.']"
45,John Taylor,female,18,,Year 1 Undergraduate,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
46,Sarah Miller,male,26,,Year 2 PhD Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
47,Mary Brown,male,19,,Year 2 Undergraduate,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
48,Mary Williams,male,24,,Year 3 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
49,Sarah Miller,female,24,,Year 2 Master's Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
50,Jane Taylor,female,20,,Year 2 Undergraduate,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
51,James Garcia,female,26,,Year 2 PhD Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
52,James Jones,male,25,,Year 1 PhD Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
53,James Williams,male,24,,Year 3 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.']"
54,James Smith,female,26,,Year 2 PhD Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
55,Emily Miller,male,24,,Year 3 Master's Student,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
56,Emily Miller,female,24,,Year 2 Master's Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
57,David Smith,female,24,,Year 3 Master's Student,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
58,Sarah Jones,female,23,,Year 2 Master's Student,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
59,Emily Williams,male,20,,Year 3 Undergraduate,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
60,Michael Martinez,male,24,,Year 3 Master's Student,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.', 'Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.']"
61,Robert Garcia,female,24,,Year 3 Master's Student,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
62,David Johnson,male,26,,Year 2 PhD Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
63,James Brown,female,20,,Year 3 Undergraduate,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
64,Emily Miller,male,24,,Year 3 Master's Student,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
65,Emily Smith,male,21,,Year 1 Master's Student,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
66,Mary Taylor,male,25,,Year 3 Master's Student,,"['Studious,Constantly engrossed in books and academic work, often found in the library.']"
67,Mary Davis,male,22,,Year 1 Master's Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
68,Emily Smith,female,20,,Year 3 Undergraduate,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
69,David Miller,female,22,,Year 1 Master's Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
70,John Martinez,male,26,,Year 2 PhD Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
71,David Davis,male,26,,Year 2 PhD Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
72,David Garcia,male,18,,Year 1 Undergraduate,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
73,Michael Miller,male,19,,Year 2 Undergraduate,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
74,David Johnson,female,23,,Year 2 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
75,Sarah Davis,female,25,,Year 1 PhD Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
76,Emily Brown,female,20,,Year 2 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
77,Emily Taylor,female,25,,Year 1 PhD Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
78,Linda Jones,female,22,,Year 4 Undergraduate,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
79,Michael Johnson,male,22,,Year 2 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
80,James Williams,male,20,,Year 2 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
81,Sarah Brown,female,24,,Year 3 Master's Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
82,Michael Miller,male,21,,Year 4 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.']"
83,Jane Jones,female,23,,Year 2 Master's Student,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
84,David Jones,female,23,,Year 1 Master's Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
85,Robert Smith,female,21,,Year 3 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.']"
86,Michael Brown,male,20,,Year 3 Undergraduate,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
87,Emily Williams,female,21,,Year 4 Undergraduate,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
88,Jane Brown,female,21,,Year 4 Undergraduate,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
89,John Taylor,female,25,,Year 1 PhD Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
90,James Brown,male,26,,Year 2 PhD Student,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
91,James Johnson,male,21,,Year 4 Undergraduate,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
92,Linda Miller,female,22,,Year 1 Master's Student,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.', 'Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
93,Emily Jones,male,25,,Year 1 PhD Student,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
94,Robert Jones,male,19,,Year 2 Undergraduate,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
95,John Martinez,female,19,,Year 2 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
96,Jane Miller,male,23,,Year 3 Master's Student,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.', 'Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.']"
97,Emily Garcia,female,23,,Year 3 Master's Student,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.']"
98,James Brown,male,25,,Year 1 PhD Student,,"['Studious,Constantly engrossed in books and academic work, often found in the library.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
99,Mary Garcia,male,23,,Year 2 Master's Student,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
